pitch_variability,pitch_change_rate,Expressiveness,Clarity
76.91986141113594,8.319565091988036,4,5
64.11845741500915,8.596937334217325,4,3
74.01618351970815,7.7757208234193556,2,2
79.88584885268787,5.615354976985138,4,3
129.5487022313494,9.519749665168757,2,4
137.69790490312468,9.18241426506747,4,5
86.90162371440084,6.689377399256525,5,3
47.07757525409592,6.4003073204887055,2,5
80.74217307644858,9.117371900690534,5,3
91.90768581666866,7.857491835616247,3,5
143.39651320206343,4.256548900284235,4,3
40.38621255777581,5.709759601685244,2,2
62.96663111979818,5.23625433424908,4,3
126.13109355827154,5.074286300428783,2,3
81.42506287773097,7.015034699687165,4,2
91.00883875822811,9.592361545934496,4,5
67.39098895880949,5.06578234384946,2,5
175.87037653782474,7.842277178038957,4,3
169.99774965461413,4.654833672604191,2,2
142.94848872172162,6.968454358842941,4,4
107.93519934231941,4.476529141027794,3,4
83.5832374113632,7.773545198273554,2,5
105.37772404122352,4.643105565212939,3,5
56.81451156275898,5.591494262106072,5,5
73.87344499017851,6.547760945567019,3,5
169.8685437253615,4.863789308207046,4,4
161.99142304323752,7.728125399432635,5,4
137.20986660354362,9.736586589120346,5,4
91.47440520816357,7.313946662792621,3,3
83.83812361450921,9.444168154083913,5,4
94.49471659560328,4.380349662805241,2,5
62.597589445782354,4.302652659658694,5,3
78.5185517466057,8.775888674034093,2,5
67.77073513330467,4.808154071687813,4,5
74.06555379554504,8.590244083707365,4,3
177.79888956570014,5.278129269140724,3,4
123.79657570268252,8.093279887050945,3,5
104.40133901235784,8.646766733347686,5,3
87.47640100870382,9.513549517520916,5,4
95.4784520256184,4.47080114638683,2,4
42.43508127337667,8.536988280523289,4,5
67.161928537549,5.7806975120057835,2,2
60.77709746974125,6.988513063231024,2,5
178.14306794901105,5.904222660820656,5,5
151.37339648788134,5.61947016556685,5,3
55.027789205690254,5.878549186710812,4,4
157.1702021116464,9.87000028117309,4,4
128.22118348366462,4.392443984651415,4,4
42.26641244736665,4.326961784414625,2,4
93.95333333792172,9.954122022783327,4,4
175.34011284139066,9.682183948729275,2,5
169.51409685901214,9.793431850897763,5,5
78.76651819027919,9.103112314077663,3,5
99.08596117341794,5.076992688472668,4,4
131.94836406378596,9.887630616530373,2,2
173.29569123305598,6.9152109874188135,5,4
106.8413633588314,5.483410251424505,2,4
71.0554940713818,4.801363057499071,5,3
105.81421739771442,7.972311593267973,4,3
63.71237943103116,8.448958198789105,5,5
69.10173047588862,4.085915779984758,3,4
163.69329099535406,9.188430093734222,5,2
165.0485493770524,9.682188546559898,5,5
53.58493244362478,6.994250775772078,2,3
122.9429685949547,5.9694207328854745,3,3
87.80584773401247,9.576983350935476,5,5
173.95125757209198,8.580032226933989,5,3
46.09644086533048,5.845642776851965,4,4
65.62586634526562,9.087461362341816,3,3
63.1080505929099,4.891751664953928,4,5
113.19167908497383,5.645973598383453,4,3
91.44346883588167,9.538156898354092,4,5
133.8050853194583,8.433754016254717,2,2
153.57710145873747,4.384294562957002,3,4
62.422553956340124,4.435268835990814,5,5
125.61152607381119,5.989400142158812,4,5
42.151813860954746,8.810899374140547,5,3
118.48561947508128,8.477600757526393,2,5
121.34290642785874,5.34547085165155,5,4
75.19636596988173,7.084799954700365,2,3
